id,u,v,x1,x2,r,x3,x4,x5,y
1,0.2,0,0.786206305,0.043032215,0.545797895,0.384248309,-0.188381195,0.290977433,1.675069185
2,0.4,0,0.542439472,0.015903961,0.06318261,-1.618960517,1.147160695,0.652465575,-1.266783466
3,0.6,0,0.553549658,0.941199037,1.146798332,0.178408354,0.591004241,-0.035378485,0.843158857
4,0.8,0,0.63811992,0.533153492,0.115039925,-0.364543009,0.836236993,-0.165477425,-0.382083607
5,1,0,0.840036016,0.653810687,-1.356668868,-0.90450229,0.325158108,0.211084739,-1.335287569
6,1.2,0,0.315081354,0.89980117,0.540139948,0.815967427,0.361072417,-0.527759155,0.252977666
7,1.4,0,0.079205361,0.372963706,-0.899190042,0.784408813,-0.673477804,-0.528797511,-1.899586624
8,1.6,0,0.868536074,0.506867834,-2.227760316,0.275557804,-0.715203688,-0.301953697,-1.772197175
9,1.8,0,0.998988484,0.603765272,0.709826254,0.446880366,1.436180828,-0.472566742,1.672294303
10,2,0,0.423607945,0.306454104,-0.047228556,-1.140273336,-0.902070294,-0.670069657,-0.068176004
11,2.2,0,0.423548444,0.494990147,-2.751296644,2.005006594,-0.777617625,-0.2319047,-2.3762514
12,2.4,0,0.830879264,0.919036589,2.641319067,-0.660194538,-0.093709484,0.262188544,4.341976927
13,2.6,0,0.505709027,0.342795146,0.851745991,-0.306375012,0.908388776,1.030734152,1.653072797
14,2.8,0,0.398770519,0.30653781,0.466539636,0.582181643,1.157637869,-0.971668807,1.270049005
15,3,0,0.12503183,0.477437352,-0.866896966,-0.764342541,0.137108065,1.263351119,-0.16327491
16,3.2,0,0.346275727,0.756010954,-0.568069708,0.59571489,0.633264551,-0.705044872,1.035644166
17,3.4,0,0.870753892,0.580359486,-0.558725587,0.059114669,0.407916622,0.635398972,2.071258625
18,3.6,0,0.992312688,0.020387178,0.770995116,0.42514602,-0.594067484,1.054813073,3.299600335
19,3.8,0,0.045553394,0.217754504,0.356993417,-0.401499796,0.534851422,-0.615475142,1.476129076
20,4,0,0.496509948,0.799308679,0.511743429,0.280110911,-0.88089026,1.003872181,3.279771078
21,4.2,0,0.318505714,0.300986301,-0.124494891,-0.002145527,0.200823584,0.591661653,1.979066901
22,4.4,0,0.336799878,0.389789225,0.473961928,1.714250047,-0.636043072,-0.451900038,2.869646471
23,4.6,0,0.390333456,0.764861446,-1.662380284,-1.501958881,-0.712581064,0.359638946,1.366359829
24,4.8,0,0.514148173,0.054660488,1.585734901,0.53834868,0.320702915,0.300116889,4.285711171
25,5,0,0.606623091,0.023873065,-0.379907491,0.061608143,-0.695172729,0.419296794,2.589262562
26,5.2,0,0.276653221,0.742303408,-0.032232476,0.468286733,0.728309606,-0.740206281,3.089922377
27,5.4,0,0.329540149,0.624498951,0.06479814,-0.41179269,-1.132679465,0.026605761,3.247891899
28,5.6,0,0.59356073,0.113461162,-0.701197752,2.913022773,-0.158269482,-0.388028497,2.54516648
29,5.8,0,0.573074273,0.929219945,0.465051105,1.230184995,-0.114006616,0.166234881,4.511459205
30,6,0,0.039168365,0.240495817,-1.498080503,1.145716946,0.02152158,1.690898352,0.818835009
31,6.2,0,0.598905398,0.479884506,0.198357256,-0.744397654,-0.6857639,-1.936258715,3.823039107
32,6.4,0,0.703204859,0.304717033,-0.358143701,-0.152086475,0.96074977,-0.530073777,3.242352173
33,6.6,0,0.221977068,0.707544107,-1.184709064,-0.289569401,0.486871574,0.423273622,1.841445132
34,6.8,0,0.328600347,0.617349667,0.600680421,0.370018792,-0.226003945,0.654927648,3.6511678
35,7,0,0.645050769,0.369788927,1.194427396,-0.013871885,-1.885240332,1.467494262,4.463174935
36,7.2,0,0.24694776,0.40577734,1.75056325,-0.986612585,1.42139866,-0.479735419,4.211598858
37,7.4,0,0.048985721,0.34791458,1.054417819,0.202864761,1.189430084,1.030113174,2.973316825
38,7.6,0,0.095521602,0.221003185,0.705735976,-1.242929875,1.358931926,2.15937668,2.425911012
39,7.8,0,0.112719312,0.278666801,-0.317807974,1.946849956,0.087643993,-1.048931723,1.320998637
40,8,0,0.315136987,0.104261335,-1.757654256,0.039690419,-0.924713665,-0.339237765,-0.15302306
41,8.2,0,0.146311147,0.105324739,-0.854552771,0.827913333,-0.814012918,-0.589299343,0.288953834
42,8.4,0,0.475636074,0.403401711,-0.807088341,1.092008505,-0.16881265,-0.563806626,0.919122859
43,8.6,0,0.047621129,0.632662712,-0.168797381,-1.26610223,0.95542948,1.005366985,0.947585933
44,8.8,0,0.129589142,0.7544215,0.58415166,0.445679212,-1.180169545,0.671364962,1.724924173
45,9,0,0.94678911,0.162359427,-0.01073903,-0.18389565,-2.471719978,-1.447617685,1.390983433
46,9.2,0,0.310190698,0.76540055,1.593789444,-1.247719514,-0.991645146,0.444230782,2.537465054
47,9.4,0,0.970110479,0.690685865,0.066198368,-1.285858315,-0.181370937,0.577334392,1.492951908
48,9.6,0,0.435306173,0.199139399,0.457016944,2.155722324,-1.078715708,0.572408403,0.527986857
49,9.8,0,0.680690422,0.132300045,-0.232339797,-1.084646689,1.327317178,0.362460561,-0.190081711
50,0,0.2,0.278680783,0.640270623,-0.408073884,-0.606890482,0.524919443,0.617118181,-1.478716182
51,0.2,0.2,0.703810578,0.488792027,-1.297823089,-0.188291886,1.338819784,-1.084783876,-2.005129491
52,0.4,0.2,0.405361393,0.418429641,0.692581599,-1.304230326,0.017075876,-0.96247862,-0.314809187
53,0.6,0.2,0.038153209,0.780545613,0.166195521,0.156621255,-0.932262038,0.172007481,-0.774513289
54,0.8,0.2,0.435307034,0.693041437,0.626584975,1.295132482,-0.175073577,-0.080487431,0.196467077
55,1,0.2,0.122742593,0.108927585,0.987049548,0.125528612,1.621846741,-1.538774279,-0.366525158
56,1.2,0.2,0.076891495,0.554516484,0.321822009,0.845499151,0.201715867,-0.660151749,-0.440788921
57,1.4,0.2,0.794402007,0.030045343,0.858761353,0.081289754,1.886508428,0.534549401,0.65137821
58,1.6,0.2,0.9341441,0.003006387,0.731980337,-0.30125835,-1.763753756,1.903110557,0.897658092
59,1.8,0.2,0.622029839,0.056476533,0.560569268,-0.478925584,-1.653556354,0.301499205,0.530307617
60,2,0.2,0.606070152,0.060876613,-1.470698853,0.801344365,0.467244797,-0.296283245,-1.310178502
61,2.2,0.2,0.624759417,0.841343381,0.125309254,0.195080663,-0.140504619,1.135303016,1.524198728
62,2.4,0.2,0.470366114,0.637259232,0.314665598,-0.057501085,0.809193977,-1.710023268,1.428228951
63,2.6,0.2,0.035298979,0.574559057,-0.629725602,-0.065878342,0.465246518,-0.704058666,-0.119941243
64,2.8,0.2,0.412226792,0.013164229,-0.768255459,0.802118402,-0.462428664,-0.004357948,-0.119589882
