id,u,v,x1,x2,r,x3,x4,x5,y
1,0.2,0,0.270043068,0.049809325,0.738221343,0.018817863,0.519494983,0.826995228,1.325696347
2,0.4,0,0.848302148,0.680861555,2.42795287,0.863838492,-1.519113592,-0.243682582,2.107141824
3,0.6,0,0.728823666,0.45427874,-0.606588816,-0.353177553,-0.297965862,-0.562620011,-1.189031505
4,0.8,0,0.451956709,0.009063755,-0.736298532,0.691172107,-0.737636542,-1.095455887,-1.989971919
5,1,0,0.987499345,0.394551533,-0.55150924,-0.89649422,-1.207675541,-0.402845379,-0.596355089
6,1.2,0,0.386135962,0.978540912,0.910522943,0.563108637,1.730245206,-2.618985004,0.799311957
7,1.4,0,0.16072712,0.547353076,0.549468764,1.330833341,0.498611781,1.216948964,-0.160306412
8,1.6,0,0.482268899,0.593571798,0.392030734,0.303544482,1.34380949,-0.33318349,0.361945032
9,1.8,0,0.672577494,0.346935398,2.00073873,1.731447466,0.621269595,-1.032732321,2.205066161
10,2,0,0.733724612,0.298141672,-0.637869744,1.119696467,1.792076225,0.717589044,-0.174730953
11,2.2,0,0.042702204,0.470825233,0.689098154,0.036093783,-1.51290091,0.259410488,0.416371713
12,2.4,0,0.50230494,0.758962395,-1.23514812,-0.083753692,2.148209015,-0.42077837,-0.24806338
13,2.6,0,0.42527474,0.655750287,0.108414057,-0.834824858,-1.525054872,-2.97680482,1.083627646
14,2.8,0,0.311736365,0.814027987,0.652759014,-0.134431469,0.631234738,1.141099321,1.809663437
15,3,0,0.565762208,0.377969652,0.270042558,0.760889405,-1.06494667,-0.227434449,1.671485659
16,3.2,0,0.77387836,0.362476522,1.375896645,0.388279196,0.910846749,0.849631782,3.374715562
17,3.4,0,0.327072993,0.312847336,0.312032705,-1.240445614,0.777591165,0.822482488,1.654392665
18,3.6,0,0.058904865,0.767261537,-1.371470133,0.390652352,0.013567409,1.690455135,0.126028973
19,3.8,0,0.699685312,0.131272696,0.894428644,-0.690999779,0.842262371,-0.215000322,3.189410887
20,4,0,0.659478012,0.288492002,-0.281127483,0.426256215,0.456512574,1.782201026,2.294043392
21,4.2,0,0.739994812,0.075060731,-0.131496818,-0.088600275,1.220618549,1.422443103,2.575875743
22,4.4,0,0.406414117,0.039156969,0.033102236,-0.069406454,-1.62545778,-0.095368817,2.216149941
23,4.6,0,0.494367429,0.598615564,0.621041717,0.161544646,0.632376814,-0.974920315,3.690783556
24,4.8,0,0.176330009,0.843732203,0.722322322,-0.358736429,0.736150155,0.157523419,3.536400584
25,5,0,0.020421155,0.182699114,0.359404412,-1.105021631,-2.321933494,0.214745519,2.314996644
26,5.2,0,0.678950647,0.696949699,2.841449678,-0.406610713,-0.851127316,0.690524773,6.722051834
27,5.4,0,0.706276519,0.123707877,-1.101940519,-1.075662986,0.197392358,0.800177748,2.330864228
28,5.6,0,0.769716744,0.206006324,0.50867999,0.628561113,2.995494982,0.32597096,4.196781205
29,5.8,0,0.563780297,0.484053576,-0.563725463,1.203902631,-0.170064261,1.896067554,3.019220302
30,6,0,0.660971158,0.772796898,-0.063340768,-0.455458805,0.313398228,0.841694555,3.999048214
31,6.2,0,0.409830256,0.663335783,-1.039355638,-0.274569385,0.148402074,-0.212791185,2.403904727
32,6.4,0,0.307701569,0.808162972,-0.722176612,0.190081868,2.657902017,1.520528935,2.628399834
33,6.6,0,0.773127031,0.278997368,-1.03724858,0.714052948,-0.727285096,0.467955363,2.594485234
34,6.8,0,0.861381172,0.658987686,0.967754476,-0.250791886,-0.065398283,-0.203789709,5.042502427
35,7,0,0.954871682,0.871592302,1.176157091,0.10134103,0.765312627,1.283409235,5.5071793
36,7.2,0,0.808485693,0.838771143,-0.361287314,-0.309886278,2.274806532,0.26735195,3.526952443
37,7.4,0,0.905065864,0.26701103,1.197585871,-0.846247223,1.050241265,-0.595452724,4.515717037
38,7.6,0,0.062446194,0.202901633,1.60233411,1.074368391,-0.759496791,0.638754566,3.248690511
39,7.8,0,0.822763923,0.466420135,2.175481862,-1.018063205,0.480498855,0.05481341,5.164685887
40,8,0,0.447907641,0.391267024,0.262705043,1.172107174,-0.134132574,-0.177797884,2.365153214
41,8.2,0,0.810185465,0.919061853,0.479430128,-0.146766699,0.262258587,0.578454435,3.456269813
42,8.4,0,0.189776624,0.124004886,-0.436445587,0.449430089,0.471608593,1.166466117,0.586795497
43,8.6,0,0.311065018,0.987228007,-1.219467634,-0.841901438,-0.656560824,0.105514139,0.627093816
44,8.8,0,0.906123765,0.179602596,1.247723182,0.548170857,-0.816145533,0.499960666,2.876072876
45,9,0,0.89929026,0.763118396,-0.463884433,-0.808240301,-0.32437799,0.958855983,1.476420196
46,9.2,0,0.177855644,0.671586366,-1.047571905,-0.948743682,1.23379419,-1.053116006,-0.362955921
47,9.4,0,0.517024237,0.289259374,-0.378826268,-0.106155337,-0.944032336,1.150558912,0.108514643
48,9.6,0,0.88295549,0.396601398,-1.018554981,1.336803724,-0.258476138,-1.50402465,-0.246368415
49,9.8,0,0.500063097,0.048099668,-1.46107247,-0.470473705,1.54433071,-0.432930558,-1.694983769
50,0,0.2,0.532600767,0.338405677,2.057178832,-1.608373378,1.262336555,0.163077019,0.938090518
51,0.2,0.2,0.513718596,0.427829463,0.164415215,-0.460444322,0.697173456,-1.511028686,-0.807380155
52,0.4,0.2,0.982329792,0.770035597,-0.880160103,1.060322567,2.289510852,-0.75611694,-0.866631117
53,0.6,0.2,0.967639696,0.890766388,2.131520697,-0.018772529,-1.239210847,-2.20280812,2.412600817
54,0.8,0.2,0.299171972,0.696851052,0.580920529,0.055404398,0.028804702,1.284931142,-0.014669949
55,1,0.2,0.148158773,0.122039888,-0.734243882,0.854499411,-0.429563065,0.589607313,-2.039635819
56,1.2,0.2,0.494903324,0.000760445,-0.084362656,-0.192646332,0.727293061,-0.015600368,-0.921353598
57,1.4,0.2,0.326906103,0.044671087,0.202292328,0.043470657,0.936312754,0.552562909,-0.653327399
58,1.6,0.2,0.560171282,0.669826611,-0.084790342,1.326677386,-0.67006613,-0.059491106,0.33483515
59,1.8,0.2,0.387477782,0.125182014,0.945546015,0.028056466,-2.406555732,-1.212330185,0.640122324
60,2,0.2,0.346053479,0.086163775,-0.930706899,0.917497061,0.000642771,0.016779961,-1.150892896
61,2.2,0.2,0.064484614,0.008836779,0.050550507,0.215310672,1.666880638,1.070901829,-0.523370002
62,2.4,0.2,0.811352548,0.888441651,0.370155778,0.785655766,0.03596024,-1.974682756,2.380475377
63,2.6,0.2,0.555813311,0.370966706,1.43519882,0.638368872,1.327158268,1.344259692,2.578896268
64,2.8,0.2,0.065572168,0.787873685,0.570823193,0.240938044,-0.967330745,-1.302805037,1.626018142
65,3,0.2,0.304977744,0.128706453,-2.130904705,-1.631541425,-0.477410339,-0.183801577,-1.304037761
66,3.2,0.2,0.509526134,0.695924265,-0.279857678,-1.829356359,-1.313256001,0.34000278,1.898213235
67,3.4,0.2,0.045616878,0.975696181,-0.968709452,-0.707685978,-0.748386906,1.271612423,0.939934361
68,3.6,0.2,0.908131771,0.606983667,-0.762200501,-2.285994939,1.650046221,-1.210372597,2.489252525
69,3.8,0.2,0.987388405,0.532173317,0.467252599,-0.799843375,0.2614146,-1.440423026,3.982524055
70,4,0.2,0.487415311,0.380130534,-1.452016542,-1.043050268,-0.092054332,-0.126255635,1.081016258
71,4.2,0.2,0.532186008,0.843322025,0.666819674,-0.366198723,-0.774051669,1.060002982,4.104677402
72,4.4,0.2,0.76783149,0.134979745,-1.20078801,0.343297105,-0.628441534,-0.150932082,1.886128383
73,4.6,0.2,0.505999946,0.36793456,2.093567567,0.970600429,0.030402156,1.309970007,5.130363471
74,4.8,0.2,0.088283661,0.635574424,0.782127255,1.181731404,-0.817045284,0.521031513,3.484965545
75,5,0.2,0.175627602,0.831268759,0.386726794,0.405276904,-0.502435599,0.450856273,3.644000964
76,5.2,0.2,0.854396819,0.731966219,-0.366246667,2.666749185,1.197648269,1.257923691,4.195883623
77,5.4,0.2,0.925684247,0.931364872,-0.737435417,0.456196386,0.371408282,-0.111717922,4.307411105
78,5.6,0.2,0.232352381,0.407363574,-1.247020908,1.260806258,-0.692685314,-1.747599575,1.737010868
79,5.8,0.2,0.697260204,0.542800747,0.429880136,-0.464240694,-1.445870637,-1.292768213,4.541011892
80,6,0.2,0.074095794,0.083374014,2.64965125,0.282764314,-0.264075183,1.55044556,4.908819444
81,6.2,0.2,0.695766991,0.108433261,0.848089663,-0.860320099,-1.614244247,0.119657154,4.327643687
82,6.4,0.2,0.737780582,0.163794605,-2.465448294,-0.003979049,-0.1519149,0.937975892,1.120558998
83,6.6,0.2,0.628614755,0.186069308,0.179193539,-2.8189721,-0.330171671,0.229928318,3.517447337
84,6.8,0.2,0.521119471,0.814922435,0.334559469,0.347929806,-0.923006881,-1.313917901,4.225888393
85,7,0.2,0.464187882,0.225635724,0.053564614,0.623044187,0.519143989,0.166004153,2.941544882
86,7.2,0.2,0.034026448,0.537613877,-0.854598101,-0.313014827,-1.285267691,0.968758663,1.555435806
87,7.4,0.2,0.888532977,0.998339849,-0.504081171,-0.782112373,0.676523348,0.619836431,3.848475979
88,7.6,0.2,0.223143447,0.994042733,-1.930579858,0.577775042,0.647531012,0.673691111,1.10245669
89,7.8,0.2,0.919348077,0.0345919,0.022479116,-0.003440936,0.040346899,-0.327693666,2.795741199
90,8,0.2,0.522114727,0.780897874,0.527319131,0.877694632,1.64701721,0.807639549,3.39194298
91,8.2,0.2,0.278467765,0.978669144,0.343308072,1.110792274,-0.019220883,-0.9214354,2.85861774
92,8.4,0.2,0.16396124,0.003381273,0.233551439,-0.41398119,0.072704593,1.354436228,1.177416003
93,8.6,0.2,0.024801157,0.687451719,1.070331194,0.915376765,-0.0589656,-1.253677862,2.427015751
94,8.8,0.2,0.693286722,0.148788192,0.539169679,-1.229648626,1.318143501,0.753430102,1.965700555
95,9,0.2,0.326442874,0.927123234,-0.481212923,0.193310684,0.661017494,-1.096638106,1.108092963
96,9.2,0.2,0.02784129,0.126525858,-1.423962805,-0.490631115,1.215625666,-0.708728182,-1.345824596
97,9.4,0.2,0.908851557,0.695971096,-1.874362284,-0.74462958,-0.006279383,0.720453474,-0.338553587
98,9.6,0.2,0.146766375,0.496752649,0.537749844,-1.697862207,0.881118937,0.707238496,0.731904262
99,9.8,0.2,0.672443932,0.660686161,0.196703903,1.240157494,0.269929651,-0.609177224,0.900438523
100,0,0.4,0.302896767,0.671419,-1.841176807,0.744596109,-0.360023513,0.135057034,-2.825544672
101,0.2,0.4,0.180911916,0.683620545,2.113169398,-0.607731062,-1.982454925,-0.32118787,1.122415146
102,0.4,0.4,0.114715243,0.920234554,1.286371053,-0.024021835,1.049085878,-1.251531562,0.605078526
103,0.6,0.4,0.824088258,0.839755375,-0.930910479,0.18055031,-1.664320509,-0.838755959,-0.726262959
104,0.8,0.4,0.405038351,0.325529066,-0.178934794,-0.338267951,-0.642946176,-1.266652665,-0.927457418
105,1,0.4,0.198259211,0.087031622,-0.376077118,-0.199030925,1.636769837,-0.495510767,-1.539110536
106,1.2,0.4,0.939906642,0.682804535,0.423149171,0.402291542,0.171320222,1.878671471,1.206628911
107,1.4,0.4,0.937513571,0.709061856,-1.015054424,-1.221303513,-0.602119977,1.70007227,0.032354529
108,1.6,0.4,0.196866343,0.964106423,-0.252297977,0.049321217,0.89897453,0.76560457,0.304894252
109,1.8,0.4,0.103669693,0.539795121,0.860717768,0.95961309,-0.33790531,1.413599286,0.877079834
110,2,0.4,0.955431424,0.511727233,0.202529355,0.776536466,-0.495164638,-1.082840105,1.726053633
111,2.2,0.4,0.098904497,0.323345392,0.36096513,0.916951851,-0.242262993,-1.041520743,0.451249517
112,2.4,0.4,0.661885696,0.50946902,-1.204758531,0.320844464,-0.457217078,0.087327817,0.32517853
113,2.6,0.4,0.675062441,0.49127669,3.270330629,-0.371907542,-0.18756978,0.460214262,5.032551335
114,2.8,0.4,0.083120464,0.769253983,1.57368532,2.119780349,0.397141741,1.00411097,2.97982296
115,3,0.4,0.603264895,0.954002365,-3.538436906,0.954749671,1.66372728,-1.040558604,-0.673372086
116,3.2,0.4,0.108669766,0.983686707,1.564729235,0.530274728,-0.799599136,1.285491965,3.807699874
117,3.4,0.4,0.972999415,0.539945393,-0.046787032,-0.081587201,0.143470298,0.838024331,3.2747624
118,3.6,0.4,0.492982992,0.579997165,0.945117529,-0.515921252,0.986187527,0.434290225,3.645821385
119,3.8,0.4,0.592387489,0.135478921,0.351907735,1.350043315,1.487667774,0.010797735,2.675194027
120,4,0.4,0.847794522,0.136359177,-0.734498699,-0.169885506,1.426861203,1.995482745,2.268191092
121,4.2,0.4,0.656176558,0.399518902,0.52533998,1.207729681,0.300774793,0.915194826,3.785246491
122,4.4,0.4,0.999907181,0.701287256,0.730779273,0.179693896,0.468410097,-0.724433222,5.356259629
